2022-07-12 02:48:08 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 install gpgsm:amd64 <none> 2.2.27-2+deb11u2
2022-07-12 02:48:08 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2022-07-12 02:48:08 install gnupg:all <none> 2.2.27-2+deb11u2
2022-07-12 02:48:08 status half-installed gnupg:all 2.2.27-2+deb11u2
2022-07-12 02:48:08 status unpacked gnupg:all 2.2.27-2+deb11u2
2022-07-12 02:48:08 startup packages configure
2022-07-12 02:48:08 configure libksba8:amd64 1.5.0-3 <none>
2022-07-12 02:48:08 status unpacked libksba8:amd64 1.5.0-3
2022-07-12 02:48:08 status half-configured libksba8:amd64 1.5.0-3
2022-07-12 02:48:08 status installed libksba8:amd64 1.5.0-3
2022-07-12 02:48:08 configure libsqlite3-0:amd64 3.34.1-3 <none>
2022-07-12 02:48:08 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-07-12 02:48:08 status half-configured libsqlite3-0:amd64 3.34.1-3
2022-07-12 02:48:08 status installed libsqlite3-0:amd64 3.34.1-3
2022-07-12 02:48:08 configure libnpth0:amd64 1.6-3 <none>
2022-07-12 02:48:08 status unpacked libnpth0:amd64 1.6-3
2022-07-12 02:48:08 status half-configured libnpth0:amd64 1.6-3
2022-07-12 02:48:08 status installed libnpth0:amd64 1.6-3
2022-07-12 02:48:08 configure libassuan0:amd64 2.5.3-7.1 <none>
2022-07-12 02:48:08 status unpacked libassuan0:amd64 2.5.3-7.1
2022-07-12 02:48:08 status half-configured libassuan0:amd64 2.5.3-7.1
2022-07-12 02:48:08 status installed libassuan0:amd64 2.5.3-7.1
2022-07-12 02:48:08 configure gnupg-l10n:all 2.2.27-2+deb11u2 <none>
2022-07-12 02:48:08 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2022-07-12 02:48:08 status half-configured gnupg-l10n:all 2.2.27-2+deb11u2
2022-07-12 02:48:08 status installed gnupg-l10n:all 2.2.27-2+deb11u2
2022-07-12 02:48:08 configure libncursesw6:amd64 6.2+20201114-2 <none>
